Country,Migration,GDP_per_capita,HDI,Urbanization,KMeans_Cluster,HierCluster
Afghanistan,97904.0294117647,452.9773226672185,0.45325000000000004,24.160999999999998,0,0
Albania,17670.688,3055.859945522355,0.7392000000000001,49.9756,2,2
Algeria,44646.25769230769,3511.899770649966,0.6886,64.825,2,2
Andorra,7299.010204081633,35143.27612068775,0.85375,89.36875,1,1
Angola,43894.480769230766,2206.225551307119,0.533,60.03525,0,2
Antigua and Barbuda,3179.3367346938776,15554.8791270243,0.8356666666666666,25.223666666666666,2,2
Argentina,158584.5406779661,8885.54122242337,0.8152,90.1178,2,2
Armenia,88454.01,2410.244970458222,0.723,64.385,2,2
Australia,223099.492,40158.98992119328,0.9162,85.3584,1,1
Austria,134414.94939759036,37065.22858830174,0.8934000000000001,59.407,1,1
Azerbaijan,74848.63265306123,4057.261328317002,0.7310000000000001,53.97575,2,2
Bahrain,88040.59104477611,18690.650255506956,0.8144,88.7302,2,2
Bangladesh,280658.80833333335,982.0694025260946,0.5438,29.2696,0,0
Barbados,4602.249056603773,15123.57300722493,0.7784000000000001,33.1014,2,2
Belarus,110075.44852941176,4955.217745835075,0.79175,75.32725,2,2
Belgium,105078.0609375,34939.34951523628,0.9022,97.4224,1,1
Belize,10546.55918367347,4910.2297742904,0.6898,45.904399999999995,2,2
Benin,85338.38125,806.876627151097,0.4532,42.004200000000004,0,0
Bhutan,10378.224242424243,2860.4298982571604,0.6393333333333333,38.595666666666666,0,2
Bosnia and Herzegovina,16102.5,4159.3822628847,0.73775,46.033750000000005,2,2
Botswana,12955.028571428571,5006.839845594168,0.6487999999999999,59.119200000000006,2,2
Brazil,43835.605161290325,6752.272503504674,0.7226,82.4584,2,2
Brunei Darussalam,23264.073469387757,27237.20345576618,0.8156,73.4952,2,2
Bulgaria,3620.813991769547,5776.06840169358,0.7776,71.4508,2,2
Burkina Faso,344893.6666666667,693.4396805865176,0.41633333333333333,27.59,0,0
Burundi,96911.71724137932,208.9739968890186,0.377,10.189,0,0
Cabo Verde,2019.109589041096,2930.816033657325,0.6345,61.55200000000001,2,2
Cambodia,16255.661016949152,1013.5884041519643,0.505,20.1692,0,0
Cameroon,86905.60416666667,1232.894712992085,0.514,49.779199999999996,0,0
Canada,371630.8155555556,36097.91263989618,0.908,79.96359999999999,1,1
Central African Republic,12443.455737704919,409.377209309065,0.35919999999999996,39.168600000000005,0,0
Chad,120900.38571428572,791.4652254671918,0.3705,22.41425,0,0
Chile,40355.41780821918,9344.473399180728,0.8046,86.30099999999999,2,2
China,60813.85890410959,4943.949006824655,0.6669999999999999,45.694599999999994,2,2
Colombia,43841.228282828284,4403.270180513726,0.7148,76.5182,2,2
Comoros,5076.5,1224.5308806003402,0.5379999999999999,28.475749999999998,0,0
Costa Rica,20868.941463414634,7603.3941579159655,0.759,67.6848,2,2
Croatia,45611.54914529915,11444.67584659538,0.82975,55.57275,2,2
Cuba,1557.7486486486487,5610.229506411856,0.7395999999999999,75.8748,2,2
Cyprus,6824.478756476684,21454.23984375,0.8426,67.3484,2,2
Czechia,61192.12926829268,14319.442936818054,0.8496,74.0002,2,2
Denmark,17960.435249042144,45958.35421659654,0.9114,86.476,1,1
Djibouti,63919.083333333336,1792.9648407139005,0.4315,77.2525,0,2
Dominica,917.8993055555555,7131.841445966752,0.7405,68.507,2,2
Dominican Republic,35627.463087248325,4647.084661618252,0.6951999999999999,70.3676,2,2
Ecuador,37170.95164835165,3759.471225431302,0.714,61.1286,2,2
El Salvador,5099.722727272727,2740.5320694141337,0.6234,63.3564,2,2
Equatorial Guinea,9750.206896551725,7510.111871127056,0.611,64.687,2,2
Eritrea,3022.1111111111113,539.699512069686,0.4650000000000001,35.175,0,0
